id_region,region_name,id_city,city_name
18,Сумська область,341,Білопілля
18,Сумська область,342,Буринь
18,Сумська область,343,Ворожба
18,Сумська область,344,Глухів
18,Сумська область,345,Дружба
18,Сумська область,346,Конотоп
18,Сумська область,347,Кролевець
18,Сумська область,348,Лебедин
18,Сумська область,349,Охтирка
18,Сумська область,350,Путивль
18,Сумська область,351,Ромни
18,Сумська область,352,Середина-Буда
18,Сумська область,353,Суми
18,Сумська область,354,Тростянець
18,Сумська область,355,Шостка
19,Тернопільська область,356,Бережани
19,Тернопільська область,357,Борщів
19,Тернопільська область,358,Бучач
19,Тернопільська область,359,Заліщики
19,Тернопільська область,360,Збараж
19,Тернопільська область,361,Зборів
19,Тернопільська область,362,Копичинці
19,Тернопільська область,363,Кременець
19,Тернопільська область,364,Ланівці
19,Тернопільська область,365,Монастириська
19,Тернопільська область,366,Підгайці
19,Тернопільська область,367,Почаїв
19,Тернопільська область,368,Скалат
19,Тернопільська область,369,Теребовля
19,Тернопільська область,370,Тернопіль
19,Тернопільська область,371,Хоростків
19,Тернопільська область,372,Чортків
19,Тернопільська область,373,Шумськ
20,Харківська область,374,Балаклія
20,Харківська область,375,Барвінкове
20,Харківська область,376,Богодухів
20,Харківська область,377,Валки
20,Харківська область,378,Вовчанськ
20,Харківська область,379,Дергачі
20,Харківська область,380,Зміїв
20,Харківська область,381,Ізюм
20,Харківська область,382,Красноград
20,Харківська область,383,Куп'янськ
20,Харківська область,384,Лозова
20,Харківська область,385,Люботин
20,Харківська область,386,Мерефа
20,Харківська область,387,Первомайський
20,Харківська область,388,Південне
20,Харківська область,389,Харків
20,Харківська область,390,Чугуїв
21,Херсонська область,391,Берислав
21,Херсонська область,392,Генічеськ
21,Херсонська область,393,Гола Пристань
21,Херсонська область,394,Каховка
21,Херсонська область,395,Нова Каховка
21,Херсонська область,396,Олешки
21,Херсонська область,397,Скадовськ
21,Херсонська область,398,Таврійськ
21,Херсонська область,399,Херсон
22,Хмельницька область,400,Волочиськ
22,Хмельницька область,401,Городок
22,Хмельницька область,402,Деражня
22,Хмельницька область,403,Дунаївці
22,Хмельницька область,404,Ізяслав
22,Хмельницька область,405,Кам'янець-Подільський
22,Хмельницька область,406,Красилів
22,Хмельницька область,407,Нетішин
22,Хмельницька область,408,Полонне
22,Хмельницька область,409,Славута
22,Хмельницька область,410,Старокостянтинів
22,Хмельницька область,411,Хмельницький
22,Хмельницька область,412,Шепетівка
23,Черкаська область,413,Ватутіне
23,Черкаська область,414,Городище
23,Черкаська область,415,Жашків
23,Черкаська область,416,Звенигородка
23,Черкаська область,417,Золотоноша
23,Черкаська область,418,Кам'янка
23,Черкаська область,419,Канів
23,Черкаська область,420,Корсунь-Шевченківський
